record_id,county_raw,canonical_counties,coverage_scope,region_raw,confidence,evidence
notice-c5eb6f61be70,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-63e00e6aa2bc,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-08dd485b34b5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-a9140ab85c56,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ebcdb2bc4820,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-3021debdac0a,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-2fe5528fd64e,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-c68ab5a1ba77,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4b3a02c9bed8,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4fc70637632d,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-c980fb972e01,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-93a4e275759c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4768037bfa40,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-construction"" identifies a bi-state agency"
notice-e794b27f9c9f,Statewide,Essex|Hudson|Morris,MULTI_COUNTY,,MEDIUM,"title:""Hudson Counties"" | title:""Morris, Essex, and Hudson Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-701d7391c185,Statewide,Gloucester|Salem,MULTI_COUNTY,,MEDIUM,"title:""Salem Counties"" | title:""Gloucester and Salem Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-454dd861d5a9,Statewide,Morris|Passaic,MULTI_COUNTY,,MEDIUM,"title:""Passaic County"" | title:""Morris County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-a06fb7d8e6a5,Statewide,Essex|Passaic,MULTI_COUNTY,,MEDIUM,"title:""County of Essex"" | title:""County of Passaic"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-8f18be78fbcb,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-b4c1737aab4f,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-05a95ece3506,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-947ef781a652,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-e41c792ebb64,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-e57a4d94bddd,Statewide,Middlesex|Monmouth|Ocean,MULTI_COUNTY,,MEDIUM,"title:""Middlesex Counties"" | title:""Monmouth, Ocean and Middlesex Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-a4a7000b6fc4,Statewide,Atlantic|Burlington|Mercer,MULTI_COUNTY,,MEDIUM,"title:""Counties of Atlantic, Burlington and Mercer"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-8f2e1fdf37e6,Statewide,Middlesex|Monmouth,MULTI_COUNTY,,MEDIUM,"title:""Middlesex County"" | title:""Monmouth & Middlesex County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-211392edb2f6,Statewide,Mercer|Monmouth|Ocean,MULTI_COUNTY,,MEDIUM,"title:""Ocean Counties"" | title:""Mercer, Monmouth, and Ocean Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-d5a69030aef2,Statewide,Camden,SINGLE_COUNTY,,MEDIUM,"title:""Camden County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-49372b1bdc76,Statewide,Gloucester,SINGLE_COUNTY,,MEDIUM,"title:""Gloucester County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-3931903dc413,Statewide,Hudson,SINGLE_COUNTY,,MEDIUM,"title:""Hudson County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-e7feec016de4,Ocean,Ocean,SINGLE_COUNTY,,LOW,"county_raw=""Ocean"" (R-01 fallback)"
notice-8da1fbc5495f,Morris,Morris,SINGLE_COUNTY,,LOW,"county_raw=""Morris"" (R-01 fallback)"
notice-3535135932fd,Morris,Morris,SINGLE_COUNTY,,LOW,"county_raw=""Morris"" (R-01 fallback)"
notice-554194a0a2ef,Burlington,Burlington,SINGLE_COUNTY,,LOW,"county_raw=""Burlington"" (R-01 fallback)"
notice-5bef5da91170,Burlington,Burlington,SINGLE_COUNTY,,LOW,"county_raw=""Burlington"" (R-01 fallback)"
notice-47da1eba2895,Monmouth,Monmouth,SINGLE_COUNTY,,LOW,"county_raw=""Monmouth"" (R-01 fallback)"
notice-5767ff5061ac,Monmouth,Monmouth,SINGLE_COUNTY,,LOW,"county_raw=""Monmouth"" (R-01 fallback)"
notice-ff2a7cd06c4b,Monmouth,Monmouth,SINGLE_COUNTY,,LOW,"county_raw=""Monmouth"" (R-01 fallback)"
notice-f8069a2e2366,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-8c6e11bcbdd4,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-23b84de37ab8,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-25e42aa80787,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-d0ec4e5eac00,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-construction"" identifies a bi-state agency"
notice-a793b76e45d9,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-2bfebd904cf0,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4088557e29a7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-9b74e7680848,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6c50dceead72,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-f68afd1251e5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-aa134c3a58c7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-28aa86c59ca7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-af25fb18b2c2,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d2f17a8f624b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-2a20e2585343,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-8807e68451e4,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-57f18ffec447,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-1ba7fa2b3c6f,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-91f6b1cfd5ec,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d0f5b22d5fae,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-c436bceaffb3,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0ffe81034a16,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-80f8a7945e63,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-f8a0cac681ce,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-5304300999a7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-8b4cc079e887,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d119bb0069fd,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-cdd79fd951bf,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
